Country Name,Country Code,2017 GDP,2017 Population,2014 Emissions,Emissions Share
"Korea, Dem. People’s Rep.",PRK,0,25490965,40527.684,0.001121461187214612
Portugal,PRT,217571083045.99,10293718,45052.762,0.0012466768138001015
Paraguay,PRY,29734895248.9053,6811297,5702.185,0.00015778792491121259
West Bank and Gaza,PSE,14498100000,4684777,,0
Pacific island small states,PSS,9687357498.96905,2419188,2478.892,6.859462201927955e-05
Post-demographic dividend,PST,47087043342548.2,1107374909,11313886.775,0.31307204464738714
French Polynesia,PYF,0,283007,803.073,2.2222222222222223e-05
Qatar,QAT,167605219780.22,2639211,107853.804,0.002984474885844749
Romania,ROU,211803281924.738,19586539,70003.03,0.001937087772704211
Russian Federation,RUS,1577524145963.17,144495044,1705345.684,0.0471894469812278
Rwanda,RWA,9136689514.09479,12208407,839.743,2.323693556570269e-05
South Asia,SAS,3291737801056.16,1788388852,2516434.746,0.06963348554033486
Saudi Arabia,SAU,683827144288.536,32938213,601046.969,0.016631861998985288
Sudan,SDN,117487857142.857,40533330,15364.73,0.0004251648909183156
Senegal,SEN,16374743753.4731,15850567,8855.805,0.00024505327245053274
Singapore,SGP,323907234412.34,5612253,56372.791,0.0015599188229325216
Solomon Islands,SLB,1303453616.11974,611343,201.685,5.580923389142567e-06
Sierra Leone,SLE,3774270392.41231,7557212,1309.119,3.622526636225266e-05
El Salvador,SLV,24805439600,6377853,6285.238,0.000173921867072552
San Marino,SMR,1658778453.9103,33400,,0
Somalia,SOM,7368560694.66414,14742523,608.722,1.6844241501775748e-05
Serbia,SRB,41431648801.1663,7022268,37667.424,0.0010423135464231355
Sub-Saharan Africa (excluding high income),SSA,1647227850147.94,1061011878,822325.721662229,0.02275497361488596
South Sudan,SSD,0,12575714,1496.136,4.140030441400304e-05
Sub-Saharan Africa,SSF,1648713664105.39,1061107721,822819.034074243,0.022768624301741022
Small states,SST,481208161470.758,40324496,282558.272432656,0.00781880690886842
Sao Tome and Principe,STP,390871568.630082,204327,113.677,3.145611364789447e-06
Suriname,SUR,3324385325.26677,563402,1991.181,5.5098934550989343e-05
Slovak Republic,SVK,95769031980.1362,5439892,30678.122,0.0008489091831557585
Slovenia,SVN,48769655479.2388,2066748,12812.498,0.00035454084221207507
Sweden,SWE,538040458216.997,10067744,43420.947,0.0012015220700152206
Swaziland,SWZ,4408564260.16111,1367254,1202.776,3.328259766615931e-05
Sint Maarten (Dutch part),SXM,0,41109,733.4,2.0294266869609333e-05
Seychelles,SYC,1485994387.49716,95843,495.045,1.3698630136986302e-05
Syrian Arab Republic,SYR,0,18269868,30703.791,0.0008496194824961948
Turks and Caicos Islands,TCA,0,35446,205.352,5.682394723490614e-06
Chad,TCD,9981303726.23281,14899994,729.733,2.0192795535261286e-05
East Asia & Pacific (IDA & IBRD countries),TEA,14713972097356.6,2042783496,11648078.82,0.32231963470319636
Europe & Central Asia (IDA & IBRD countries),TEC,3879859485679.2,457647735,3331985.0026978,0.0922009719802088
Togo,TGO,4812554346.14923,7797694,2621.905,7.255200405885338e-05
Thailand,THA,455220920571.129,69037513,316212.744,0.00875007610350076
Tajikistan,TJK,7145701018.7492,8921343,5188.805,0.00014358193810248607
Turkmenistan,TKM,42355428571.4286,5758075,68422.553,0.0018933536276002029
Latin America & the Caribbean (IDA & IBRD countries),TLA,5704712973686.92,628059792,1844357.987,0.0510361237950279
Timor-Leste,TLS,2954620999.58441,1296311,469.376,1.2988330796549974e-05
Middle East & North Africa (IDA & IBRD countries),TMN,1417009559961.62,375217005,1415553.675,0.03917047184170472
Tonga,TON,426057453.064917,108020,121.011,3.34855403348554e-06
South Asia (IDA & IBRD),TSA,3291737801056.16,1788388852,2516434.746,0.06963348554033486
Sub-Saharan Africa (IDA & IBRD countries),TSS,1648713664105.39,1061107721,822819.034074242,0.022768624301740994
Trinidad and Tobago,TTO,22104775828.46,1369125,46273.873,0.001280466768138001
Tunisia,TUN,40256675208.7294,11532127,28829.954,0.0007977676306443431
Turkey,TUR,851102411118.116,80745020,345981.45,0.009573820395738205
Tuvalu,TUV,39731317.3044487,11192,11.001,3.0441400304414e-07
Tanzania,TZA,52090320325.4736,57310019,11562.051,0.0003199391171993912
Uganda,UGA,25891058946.1936,42862958,5229.142,0.00014469812278031455
Ukraine,UKR,112154185121.406,44831159,227298.995,0.006289700659563673
Upper middle income,UMC,22168418709051.6,2576202556,16588791.0525805,0.45903647759102295
Uruguay,URY,56156972157.6958,3456750,6747.28,0.00018670725520040588
United States,USA,19390604000000,325719178,5254279.285,0.14539370877727043
Uzbekistan,UZB,48717685984.0278,32387200,105213.564,0.0029114155251141554
St. Vincent and the Grenadines,VCT,789629629.62963,109897,209.019,5.783866057838661e-06
"Venezuela, RB",VEN,0,31977065,185220.17,0.005125317097919838
British Virgin Islands,VGB,0,31196,179.683,4.972095383054287e-06
Virgin Islands (U.S.),VIR,0,107268,,0
Vietnam,VNM,223863996354.655,95540800,166910.839,0.004618670725520041
Vanuatu,VUT,862879789.390161,276244,154.014,4.261796042617961e-06
World,WLD,80683787437857.8,7530360149,36138285,1
Samoa,WSM,856626506.024096,196440,198.018,5.479452054794521e-06
Kosovo,XKX,7128690556.68244,1830700,,0
"Yemen, Rep.",YEM,0,28250420,22698.73,0.0006281075596144089
South Africa,ZAF,349419343614.089,56717156,489771.854,0.01355271435819381
Zambia,ZMB,25808666421.5558,17094130,4503.076,0.00012460679857940132
Zimbabwe,ZWE,17845821400,16529904,12020.426,0.000332623033992897
,,,,,
