2014
Montenegro,MNE,2211.201,6.118721461187215e-05
Mongolia,MNG,20839.561,0.0005766615930999493
Northern Mariana Islands,MNP,,0
Mozambique,MOZ,8426.766,0.00023318112633181125
Mauritania,MRT,2709.913,7.498731608320649e-05
Mauritius,MUS,4228.051,0.00011699644850329783
Malawi,MWI,1276.116,3.5312024353120245e-05
Malaysia,MYS,242821.406,0.006719228817858955
North America,NAC,5792048.502,0.16027458143074583
Namibia,NAM,3755.008,0.0001039066463723998
New Caledonia,NCL,4290.39,0.00011872146118721462
Niger,NER,2126.86,5.8853373921867076e-05
Nigeria,NGA,96280.752,0.0026642313546423133
Nicaragua,NIC,4862.442,0.00013455098934550989
Netherlands,NLD,167303.208,0.004629528158295282
Norway,NOR,47626.996,0.0013179096905124301
Nepal,NPL,8030.73,0.0002222222222222222
Nauru,NRU,47.671,1.3191273465246068e-06
New Zealand,NZL,34664.151,0.0009592085235920852
OECD members,OED,12138272.379,0.3358840182648402
Oman,OMN,61169.227,0.0016926433282597666
Other small states,OSS,216360.821490992,0.005987025158802971
Pakistan,PAK,166298.45,0.004601725012683917
Panama,PAN,8800.8,0.000243531202435312
Peru,PER,61744.946,0.00170857432775241
Philippines,PHL,105653.604,0.002923592085235921
Palau,PLW,260.357,7.2044647387113146e-06
Papua New Guinea,PNG,6318.241,0.00017483510908168442
Poland,POL,285739.974,0.007906849315068493
Pre-demographic dividend,PRE,445746.13685026,0.01233445740024077
Puerto Rico,PRI,,0
"Korea, Dem. People’s Rep.",PRK,40527.684,0.001121461187214612
Portugal,PRT,45052.762,0.0012466768138001015
Paraguay,PRY,5702.185,0.00015778792491121259
West Bank and Gaza,PSE,,0
Pacific island small states,PSS,2478.892,6.859462201927955e-05
Post-demographic dividend,PST,11313886.775,0.31307204464738714
French Polynesia,PYF,803.073,2.2222222222222223e-05
Qatar,QAT,107853.804,0.002984474885844749
Romania,ROU,70003.03,0.001937087772704211
Russian Federation,RUS,1705345.684,0.0471894469812278
Rwanda,RWA,839.743,2.323693556570269e-05
South Asia,SAS,2516434.746,0.06963348554033486
Saudi Arabia,SAU,601046.969,0.016631861998985288
Sudan,SDN,15364.73,0.0004251648909183156
Senegal,SEN,8855.805,0.00024505327245053274
Singapore,SGP,56372.791,0.0015599188229325216
Solomon Islands,SLB,201.685,5.580923389142567e-06
Sierra Leone,SLE,1309.119,3.622526636225266e-05
El Salvador,SLV,6285.238,0.000173921867072552
San Marino,SMR,,0
Somalia,SOM,608.722,1.6844241501775748e-05
Serbia,SRB,37667.424,0.0010423135464231355
Sub-Saharan Africa (excluding high income),SSA,822325.721662229,0.02275497361488596
South Sudan,SSD,1496.136,4.140030441400304e-05
Sub-Saharan Africa,SSF,822819.034074243,0.022768624301741022
Small states,SST,282558.272432656,0.00781880690886842
Sao Tome and Principe,STP,113.677,3.145611364789447e-06
Suriname,SUR,1991.181,5.5098934550989343e-05
Slovak Republic,SVK,30678.122,0.0008489091831557585
Slovenia,SVN,12812.498,0.00035454084221207507
Sweden,SWE,43420.947,0.0012015220700152206
Swaziland,SWZ,1202.776,3.328259766615931e-05
Sint Maarten (Dutch part),SXM,733.4,2.0294266869609333e-05
Seychelles,SYC,495.045,1.3698630136986302e-05
Syrian Arab Republic,SYR,30703.791,0.0008496194824961948
Turks and Caicos Islands,TCA,205.352,5.682394723490614e-06
Chad,TCD,729.733,2.0192795535261286e-05
East Asia & Pacific (IDA & IBRD countries),TEA,11648078.82,0.32231963470319636
Europe & Central Asia (IDA & IBRD countries),TEC,3331985.0026978,0.0922009719802088
Togo,TGO,2621.905,7.255200405885338e-05
Thailand,THA,316212.744,0.00875007610350076
Tajikistan,TJK,5188.805,0.00014358193810248607
Turkmenistan,TKM,68422.553,0.0018933536276002029
Latin America & the Caribbean (IDA & IBRD countries),TLA,1844357.987,0.0510361237950279
Timor-Leste,TLS,469.376,1.2988330796549974e-05
Middle East & North Africa (IDA & IBRD countries),TMN,1415553.675,0.03917047184170472
Tonga,TON,121.011,3.34855403348554e-06
South Asia (IDA & IBRD),TSA,2516434.746,0.06963348554033486
Sub-Saharan Africa (IDA & IBRD countries),TSS,822819.034074242,0.022768624301740994
Trinidad and Tobago,TTO,46273.873,0.001280466768138001
Tunisia,TUN,28829.954,0.0007977676306443431
Turkey,TUR,345981.45,0.009573820395738205
Tuvalu,TUV,11.001,3.0441400304414e-07
Tanzania,TZA,11562.051,0.0003199391171993912
Uganda,UGA,5229.142,0.00014469812278031455
Ukraine,UKR,227298.995,0.006289700659563673
Upper middle income,UMC,16588791.0525805,0.45903647759102295
Uruguay,URY,6747.28,0.00018670725520040588
United States,USA,5254279.285,0.14539370877727043
Uzbekistan,UZB,105213.564,0.0029114155251141554
St. Vincent and the Grenadines,VCT,209.019,5.783866057838661e-06
"Venezuela, RB",VEN,185220.17,0.005125317097919838
British Virgin Islands,VGB,179.683,4.972095383054287e-06
Virgin Islands (U.S.),VIR,,0
Vietnam,VNM,166910.839,0.004618670725520041
Vanuatu,VUT,154.014,4.261796042617961e-06
World,WLD,36138285,1.0
Samoa,WSM,198.018,5.479452054794521e-06
Kosovo,XKX,,0
"Yemen, Rep.",YEM,22698.73,0.0006281075596144089
South Africa,ZAF,489771.854,0.01355271435819381
Zambia,ZMB,4503.076,0.00012460679857940132
Zimbabwe,ZWE,12020.426,0.000332623033992897

